GCS_META {"release":"2.9.1.0","interval":"filib","lp":"soplex","variables":7,"parse_seconds":0.0074638999999999999}
GCS_SETTINGS {"trial":0,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":0,"status":0,"construct_seconds":0.0111819,"search_seconds":3.0544829,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
GCS_SETTINGS {"trial":1,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":1,"status":0,"construct_seconds":0.015476,"search_seconds":2.9226016000000001,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
GCS_SETTINGS {"trial":2,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":2,"status":0,"construct_seconds":0.0096355999999999994,"search_seconds":2.9708526000000002,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
GCS_SETTINGS {"trial":3,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":3,"status":0,"construct_seconds":0.0097090000000000006,"search_seconds":2.9257716,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
GCS_SETTINGS {"trial":4,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":4,"status":0,"construct_seconds":0.0093784999999999997,"search_seconds":2.9595747000000001,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
GCS_SETTINGS {"trial":5,"inhc4_requested":0,"inhc4_effective":0,"rigor":1,"kkt":0,"abs_eps_f":1.0000000000000001e-05,"rel_eps_f":0,"eps_h":0,"eps_x_first":0,"seed":1,"timeout":30}
GCS_TRIAL {"trial":5,"status":0,"construct_seconds":0.0096720999999999994,"search_seconds":2.9551639000000001,"cells":1660,"height_lower":0.13115989619219715,"height_upper":0.13116989619219713,"witness_box":[[-0.5819429369401955,-0.5819429369401955],[-0.93345723905606304,-0.93345723905606304],[-0.53245055151625209,-0.53245055151625209],[-0.85350800289644069,-0.85350800289644069],[0.99999864921274528,0.99999864921274528],[0.73767885682835099,0.73767885682835099],[-0.075000000000000011,-0.075000000000000011]]}
